barcode,title,author,subject,description,category,media,publisher,publocation,pubdate,edition,isbn,type,thumburl,keywords,callnumber
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,19
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,22
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,27
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,25
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,26
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,27
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,30
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,29
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,31
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,33
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,23
9788131702062,Engineering Thermodynamics - Work and Heat transfer (4th edition),"Gordon Rogers, Yon Mayhew",Energy,,,,,,,Fourth,978-81-317-0206-2,General,"https://images-na.ssl-images-amazon.com/images/I/517LnM6zDHL._SX366_BO1,204,203,200_.jpg",,35
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,18
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,13
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,11
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,10
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,9
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,8
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,6
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,4
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,3
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,2
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,1
9788120327900,Fundementals of Engineering Thermodynamics (2nd edition),E.Rathakrishnan,Energy,,,,,,,Second,978-81-203-2790-0,General,https://pictures.abebooks.com/isbn/9788120327900-us.jpg,,604
9788131718872,Modern Control Systems (11th Edition),"Richard C.Dorf, Robert H.Bishop",Control Systems,,,,,,,Eleventh,978-81-317-1887-2,General,"https://images-na.ssl-images-amazon.com/images/I/51ebsTZDLdL._SX388_BO1,204,203,200_.jpg",,639
9780471880455,Instrumentation & Control - Fundamentals and Applications,Chester L.Nachtigal,Control Systems,,,,,,,,978-0-471-88045-5,General,https://pictures.abebooks.com/isbn/9780471880455-us-300.jpg,,
9780538108904,Advanced Office Systems,"Allen N. Smith, Wilma Jean Alexander, Donald B. Medley",Business & Economics,,,,,,,,978-0-53-810890-4,General,https://pictures.abebooks.com/isbn/9780538108904-us-300.jpg,,
9780471780151,Chemical Thermodynamics - Basic Theory and Methods,Irving M. Klotz,Energy,,,,,,,,978-0-47-178015-1,General,https://pictures.abebooks.com/isbn/9780471780151-us-300.jpg,,602
9788301083298,Moving Heat Sources in Thermoelasticity,Tadeusz Roznowski,Energy,,,,Ellis Horwood + PWN,,1989,,978-8-30-108329-8,General,https://pictures.abebooks.com/isbn/9788301083298-us-300.jpg,,88
9788178085340,Gas Turbine Theory,H.I.H. Saravanamutto,Energy,,,,Pearson Education,,2006,,978-8-17-808534-0,General,https://pictures.abebooks.com/isbn/9788178085340-us-300.jpg,,58
9780882756295,Gas Power Dynamics,Alexander D. Lewis,Energy,,,,Krieger Pub Co,,1978,,978-0-88-275629-5,General,https://pictures.abebooks.com/isbn/9780882756295-us-300.jpg,,342
9780130215390,Thermodynamics and Heat Power (6th edition),"Irving  Granet, Maurice Bluestein",Energy,,,,,,,Sixth,978-0-13-021539-0,General,"https://images-na.ssl-images-amazon.com/images/I/716ET3VDCCL._SX365_BO1,204,203,200_.gif",,340
9780070473386,Basic and Applied Thermodynamics,P.K.Neg,Energy,,,,,,,,978-0-07-047338-6,General,https://pictures.abebooks.com/isbn/9780070473386-us-300.jpg,,338
9780130092359,The Expert System for Thermodynamics,Subrata Bhattacharjee,Energy,,,,,,,,978-0-13-009235-9,General,,,346
9780072350449,An Introduction to Combustion (Concept and Applications),Stephen R. Turns,Energy,,,,,,,,978-0-07-235044-9,General,,,771
9780070655324,An Introduction to Combustion (Concept and Applications - Solutions Manual),Stephen R. Turns,Energy,,,,,,,,978-0-07-065532-4,General,,,778
9780582305588,Applied Thermodynamics for Engineering Technologies,"T.D.Eastop, A.McConkey",Energy,,,,,,,,978-0-58-230558-8,General,,,790
9788129700575,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-12-970057-5,General,,,57
9780070796638,Thermodynamics ,John R. Howell,Energy,,,,,,,,978-0-07-079663-8,General,,,605
9788125908371,Basic Civil and Machanical Engineering,"L.S.Jayagopal, R. Rudramoorthy",Mechanics,,,,,,,,978-8-12-590837-1,General,,,
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,54
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,51
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,42
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,56
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,58
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,41
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,48
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,59
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,47
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,44
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,40
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,49
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,39
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,52
9788177587753,Fluid Mechanics (4th Edition) ,"John F. Douglas, Janusz M. Gasiorek, John A. Swaffield",Fluid,,,,,,,Fourth,978-8-17-758775-3,General,,,46
